Epoch: [0][0/960]	 Time 1.236 (1.236)	Data 0.077 (0.077)	Loss 5.5333 (5.5333)	
Epoch: [0][30/960]	 Time 0.039 (0.092)	Data 0.022 (0.037)	Loss 11.2199 (15.0026)	
Epoch: [0][60/960]	 Time 0.025 (0.068)	Data 0.015 (0.034)	Loss 0.4828 (10.1814)	
Epoch: [0][90/960]	 Time 0.076 (0.057)	Data 0.053 (0.031)	Loss 0.2810 (9.8651)	
Epoch: [0][120/960]	 Time 0.020 (0.059)	Data 0.013 (0.036)	Loss 76.1099 (10.2913)	
Epoch: [0][150/960]	 Time 0.046 (0.058)	Data 0.020 (0.037)	Loss 17.5302 (9.2835)	
Epoch: [0][180/960]	 Time 0.043 (0.056)	Data 0.027 (0.036)	Loss 5.2637 (9.6536)	
Epoch: [0][210/960]	 Time 0.043 (0.056)	Data 0.025 (0.037)	Loss 1.0808 (9.5918)	
Epoch: [0][240/960]	 Time 0.043 (0.056)	Data 0.032 (0.037)	Loss 0.6866 (10.1212)	
Epoch: [0][270/960]	 Time 0.089 (0.058)	Data 0.059 (0.039)	Loss 5.5616 (9.8192)	
Epoch: [0][300/960]	 Time 0.081 (0.060)	Data 0.054 (0.041)	Loss 1.3448 (9.6195)	
Epoch: [0][330/960]	 Time 0.160 (0.061)	Data 0.115 (0.042)	Loss 34.3294 (9.6221)	
Epoch: [0][360/960]	 Time 0.058 (0.063)	Data 0.028 (0.043)	Loss 4.0516 (9.8277)	
Epoch: [0][390/960]	 Time 0.040 (0.064)	Data 0.021 (0.044)	Loss 6.7381 (9.7112)	
Epoch: [0][420/960]	 Time 0.044 (0.063)	Data 0.029 (0.043)	Loss 0.6832 (9.5286)	
Epoch: [0][450/960]	 Time 0.055 (0.063)	Data 0.037 (0.044)	Loss 13.9736 (9.6263)	
Epoch: [0][480/960]	 Time 0.049 (0.064)	Data 0.032 (0.044)	Loss 2.6852 (9.8164)	
Epoch: [0][510/960]	 Time 0.035 (0.063)	Data 0.026 (0.044)	Loss 7.2296 (9.6481)	
Epoch: [0][540/960]	 Time 0.055 (0.062)	Data 0.046 (0.043)	Loss 0.6514 (9.8443)	
Epoch: [0][570/960]	 Time 0.078 (0.062)	Data 0.057 (0.043)	Loss 1.2803 (10.0170)	
Epoch: [0][600/960]	 Time 0.057 (0.062)	Data 0.051 (0.044)	Loss 3.2467 (10.0261)	
Epoch: [0][630/960]	 Time 0.042 (0.062)	Data 0.032 (0.044)	Loss 2.3246 (10.1940)	
Epoch: [0][660/960]	 Time 0.101 (0.062)	Data 0.081 (0.044)	Loss 1.8226 (9.9617)	
Epoch: [0][690/960]	 Time 0.034 (0.063)	Data 0.022 (0.045)	Loss 9.4303 (9.9824)	
Epoch: [0][720/960]	 Time 0.106 (0.062)	Data 0.063 (0.044)	Loss 1.5508 (9.7932)	
Epoch: [0][750/960]	 Time 0.076 (0.062)	Data 0.053 (0.044)	Loss 2.0235 (9.7271)	
Epoch: [0][780/960]	 Time 0.042 (0.061)	Data 0.029 (0.044)	Loss 0.6541 (9.6916)	
Epoch: [0][810/960]	 Time 0.031 (0.062)	Data 0.018 (0.044)	Loss 17.9164 (9.8933)	
Epoch: [0][840/960]	 Time 0.126 (0.062)	Data 0.103 (0.044)	Loss 2.7282 (10.0882)	
Epoch: [0][870/960]	 Time 0.072 (0.062)	Data 0.049 (0.045)	Loss 12.5223 (10.0644)	
Epoch: [0][900/960]	 Time 0.044 (0.062)	Data 0.036 (0.045)	Loss 8.9630 (10.0380)	
Epoch: [0][930/960]	 Time 0.078 (0.062)	Data 0.050 (0.045)	Loss 82.7697 (10.0885)	
 * MAE 36.750 
 * best MAE 36.750 
Epoch: [1][0/960]	 Time 0.040 (0.040)	Data 0.031 (0.031)	Loss 1.1353 (1.1353)	
Epoch: [1][30/960]	 Time 0.042 (0.058)	Data 0.021 (0.046)	Loss 4.3069 (14.1345)	
Epoch: [1][60/960]	 Time 0.067 (0.053)	Data 0.058 (0.041)	Loss 1.0335 (9.9962)	
Epoch: [1][90/960]	 Time 0.038 (0.058)	Data 0.030 (0.045)	Loss 5.0595 (10.1929)	
Epoch: [1][120/960]	 Time 0.065 (0.058)	Data 0.055 (0.046)	Loss 7.9298 (9.8451)	
Epoch: [1][150/960]	 Time 0.081 (0.060)	Data 0.061 (0.047)	Loss 0.7379 (9.1803)	
Epoch: [1][180/960]	 Time 0.091 (0.059)	Data 0.084 (0.046)	Loss 5.9559 (9.3071)	
Epoch: [1][210/960]	 Time 0.058 (0.057)	Data 0.049 (0.045)	Loss 39.6910 (10.9184)	
Epoch: [1][240/960]	 Time 0.050 (0.056)	Data 0.038 (0.044)	Loss 1.7731 (10.8796)	
Epoch: [1][270/960]	 Time 0.132 (0.058)	Data 0.102 (0.045)	Loss 9.4102 (10.5593)	
Epoch: [1][300/960]	 Time 0.069 (0.060)	Data 0.054 (0.047)	Loss 1.9855 (10.6697)	
Epoch: [1][330/960]	 Time 0.037 (0.061)	Data 0.020 (0.048)	Loss 2.3153 (11.4620)	
Epoch: [1][360/960]	 Time 0.079 (0.062)	Data 0.059 (0.048)	Loss 1.8029 (11.7948)	
Epoch: [1][390/960]	 Time 0.089 (0.063)	Data 0.078 (0.049)	Loss 4.8383 (11.9542)	
Epoch: [1][420/960]	 Time 0.069 (0.064)	Data 0.056 (0.050)	Loss 3.1964 (11.5216)	
Epoch: [1][450/960]	 Time 0.073 (0.065)	Data 0.042 (0.051)	Loss 4.7734 (11.3376)	
Epoch: [1][480/960]	 Time 0.050 (0.064)	Data 0.027 (0.050)	Loss 3.4309 (11.3660)	
Epoch: [1][510/960]	 Time 0.093 (0.064)	Data 0.069 (0.050)	Loss 1.6835 (11.1383)	
Epoch: [1][540/960]	 Time 0.101 (0.065)	Data 0.086 (0.051)	Loss 0.6680 (10.8526)	
Epoch: [1][570/960]	 Time 0.081 (0.065)	Data 0.067 (0.051)	Loss 1.6498 (10.5330)	
Epoch: [1][600/960]	 Time 0.062 (0.066)	Data 0.054 (0.051)	Loss 0.7032 (10.5230)	
Epoch: [1][630/960]	 Time 0.063 (0.065)	Data 0.050 (0.051)	Loss 2.5902 (10.7421)	
Epoch: [1][660/960]	 Time 0.050 (0.065)	Data 0.042 (0.051)	Loss 36.0830 (10.5331)	
Epoch: [1][690/960]	 Time 0.026 (0.064)	Data 0.017 (0.050)	Loss 1.1422 (10.3749)	
Epoch: [1][720/960]	 Time 0.042 (0.063)	Data 0.032 (0.049)	Loss 1.1099 (10.2685)	
Epoch: [1][750/960]	 Time 0.085 (0.063)	Data 0.069 (0.049)	Loss 2.0157 (10.1123)	
Epoch: [1][780/960]	 Time 0.028 (0.063)	Data 0.020 (0.049)	Loss 10.4519 (10.0599)	
